"CMDB_Id","Distribution","Architecture","Environment","Team","Last seen","Last modified","Installed version"
66472445,"jessie","amd64","DEV","Platform","2019-02-18 20:36","2019-02-18 20:36","42.44-1(amd64)"
96573205,"jessie","amd64","LIVE","Platform","2019-02-18 20:36","2019-02-18 20:36","42.44-1(amd64)"
248766343,"jessie","amd64","LIVE","Platform","2019-02-18 20:37","2019-02-18 20:37","42.44-1(amd64)"
96572899,"jessie","amd64","LIVE","Platform","2019-02-18 20:40","2019-02-18 20:40","42.44-1(amd64)"
95472021,"jessie","amd64","LIVE","Platform","2019-02-18 20:59","2019-02-18 20:59","42.44-1(amd64)"
104986434,"jessie","amd64","LIVE","Platform","2019-02-18 21:25","2019-02-18 21:25","42.44-1(amd64)"
294479915,"jessie","amd64","LIVE","Platform","2019-02-18 21:52","2019-02-18 21:52","42.44-1(amd64)"
85159247,"jessie","amd64","LIVE","Platform","2019-02-18 22:37","2019-02-18 22:37","42.44-1(amd64)"
96572712,"jessie","amd64","LIVE","Platform","2019-02-18 22:54","2019-02-18 22:54","42.44-1(amd64)"
248766353,"jessie","amd64","LIVE","Platform","2019-02-18 23:10","2019-02-18 23:10","42.44-1(amd64)"
274471070,"jessie","amd64","DEV","Platform","2019-02-18 23:50","2019-02-18 23:50","42.44-1(amd64)"
288180686,"jessie","amd64","QA","Platform","2019-02-19 00:12","2019-02-19 00:12","42.44-1(amd64)"
274471884,"jessie","amd64","LIVE","Platform","2019-02-19 01:09","2019-02-19 01:09","42.44-1(amd64)"
95041585,"jessie","amd64","DEV","Platform","2019-02-19 01:31","2019-02-19 01:31","42.44-1(amd64)"
294393048,"jessie","amd64","LIVE","Platform","2019-02-19 01:57","2019-02-19 01:57","42.44-1(amd64)"
274471889,"jessie","amd64","LIVE","Platform","2019-02-19 01:58","2019-02-19 01:58","42.44-1(amd64)"
274471063,"jessie","amd64","DEV","Platform","2019-02-19 02:17","2019-02-19 02:17","42.44-1(amd64)"
288180683,"jessie","amd64","QA","Platform","2019-02-19 02:44","2019-02-19 02:44","42.44-1(amd64)"
274472353,"jessie","amd64","LIVE","Platform","2019-02-19 02:51","2019-02-19 02:51","42.44-1(amd64)"
83341459,"jessie","amd64","LIVE","Platform","2019-02-19 03:14","2019-02-19 03:14","42.44-1(amd64)"
274471373,"jessie","amd64","QA","Platform","2019-02-19 03:37","2019-02-19 03:37","42.44-1(amd64)"
97913429,"jessie","amd64","DEV","Platform","2019-02-19 03:40","2019-02-19 03:40","42.44-1(amd64)"
294479909,"jessie","amd64","LIVE","Platform","2019-02-19 04:08","2019-02-19 04:08","42.44-1(amd64)"
66472531,"jessie","amd64","DEV","Platform","2019-02-19 04:09","2019-02-19 04:09","42.44-1(amd64)"
85273559,"jessie","amd64","LIVE","Platform","2019-02-19 04:12","2019-02-19 04:12","42.44-1(amd64)"
95471664,"jessie","amd64","LIVE","Platform","2019-02-19 04:14","2019-02-19 04:14","42.44-1(amd64)"
248765889,"jessie","amd64","LIVE","Platform","2019-02-19 05:39","2019-02-19 05:39","42.44-1(amd64)"
84814263,"jessie","amd64","QA","Platform","2019-02-19 05:45","2019-02-19 05:45","42.44-1(amd64)"
274472349,"jessie","amd64","LIVE","Platform","2019-02-19 05:51","2019-02-19 05:51","42.44-1(amd64)"
238423520,"Debian 8.9","amd64","QA","Ops App1","2019-02-19 06:36","2019-02-19 06:36","42.44-1(amd64)"
188882206,"Debian 8.9","amd64","DEV","Big Data","2019-02-19 06:42","2019-02-19 06:42","42.44-1(amd64)"
276664031,"Debian 8.11","amd64","DEV","Automation","2019-02-19 06:58","2019-02-19 06:58","42.44-1(amd64)"
83341496,"jessie","amd64","LIVE","Platform","2019-02-19 07:01","2019-02-19 07:01","42.44-1(amd64)"
64408767,"Debian 8.11","amd64","QA","Persistence","2019-02-19 07:03","2019-02-19 07:03","42.44-1(amd64)"
289314477,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:05","2019-02-19 07:05","42.44-1(amd64)"
276699573,"Debian 8.11","amd64","LIVE","Automation","2019-02-19 07:06","2019-02-19 07:06","42.44-1(amd64)"
276665925,"Debian 8.11","amd64","DEV","Automation","2019-02-19 07:07","2019-02-19 07:07","42.44-1(amd64)"
276663379,"Debian 8.11","amd64","DEV","Automation","2019-02-19 07:10","2019-02-19 07:10","42.44-1(amd64)"
276699990,"Debian 8.11","amd64","LIVE","Automation","2019-02-19 07:12","2019-02-19 07:12","42.44-1(amd64)"
64408874,"Debian 8.11","amd64","QA","Persistence","2019-02-19 07:14","2019-02-19 07:14","42.44-1(amd64)"
69552722,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:14","2019-02-19 07:14","42.44-1(amd64)"
74002552,"Debian 8.11","amd64","QA","Persistence","2019-02-19 07:19","2019-02-19 07:19","42.44-1(amd64)"
289358471,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:21","2019-02-19 07:21","42.44-1(amd64)"
276664253,"Debian 8.11","amd64","DEV","Automation","2019-02-19 07:21","2019-02-19 07:21","42.44-1(amd64)"
276700058,"Debian 8.11","amd64","LIVE","Automation","2019-02-19 07:21","2019-02-19 07:21","42.44-1(amd64)"
276700137,"Debian 8.11","amd64","LIVE","Automation","2019-02-19 07:21","2019-02-19 07:21","42.44-1(amd64)"
74002484,"Debian 8.11","amd64","QA","Persistence","2019-02-19 07:32","2019-02-19 07:32","42.44-1(amd64)"
289139566,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:34","2019-02-19 07:34","42.44-1(amd64)"
74002620,"Debian 8.11","amd64","QA","Persistence","2019-02-19 07:35","2019-02-19 07:35","42.44-1(amd64)"
289253355,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:36","2019-02-19 07:36","42.44-1(amd64)"
294393059,"jessie","amd64","LIVE","Platform","2019-02-19 07:38","2019-02-19 07:38","42.44-1(amd64)"
289336625,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:38","2019-02-19 07:38","42.44-1(amd64)"
69552639,"Debian 8.11","amd64","DEV","Persistence","2019-02-19 07:38","2019-02-19 07:38","42.44-1(amd64)"
104903174,"jessie","amd64","QA","Platform","2019-02-19 08:36","2019-02-19 08:36","42.44-1(amd64)"
104903132,"jessie","amd64","DEV","Platform","2019-02-19 09:52","2019-02-19 09:52","42.44-1(amd64)"
248765892,"jessie","amd64","LIVE","Platform","2019-02-19 10:20","2019-02-19 10:20","42.44-1(amd64)"
95471793,"jessie","amd64","LIVE","Platform","2019-02-19 10:37","2019-02-19 10:37","42.44-1(amd64)"
